id	output
["0x6D571577a2024F92FbfDACB751b930C62f97b1Fa",999]	{"name": "DOGE", "symbol": "DOGE", "decimals": 18}
["0x99750393c5B40093A53ccD2d8e9f61EF4F401826",999]	{"name": "BULBUL2DAO", "symbol": "BULBUL", "decimals": 18}
["0x8f7186314C9B26081e3372f64ef2E742e19EaaB6",999]	{"name": "AirDefi", "symbol": "ADF", "decimals": 18}
["0x90382a398Fa1355AD70f82782a5a7ECc4D5EA3aa",999]	{"name": "Black", "symbol": "BLACK", "decimals": 18}
["0x9804bE51F64EE0969F8b4b4231036b858209661F",999]	{"name": "VORTX", "symbol": "VORTX", "decimals": 18}
["0xE47F3bB75D49CCAdFF267709986d7B658D67a510",999]	{"name": "GRIFFITH", "symbol": "GRIF", "decimals": 18}
["0x91b446BC41321f8cC84Da1B683e270f1455cF60c",999]	{"name": "test", "symbol": "test", "decimals": 18}
["0x60c1DEbC99E420574057b90D295e38059A1259C0",999]	{"name": "800", "symbol": "800", "decimals": 18}
["0xb5489a44F81D4e03F835a9449F2b25D9F2F3a4E2",999]	{"name": "Yakub", "symbol": "YAKUB", "decimals": 18}
["0xCAFF704f38844631DE486c35d01d1B935d255d08",999]	{"name": "HYPNO", "symbol": "HYPNO", "decimals": 18}
["0xF60F71f47a968892d6Dbea7abD946ACFD007a36C",999]	{"name": "HYPERHYPER", "symbol": "HYPER2", "decimals": 18}
["0xB26EA7e18C23B5b9547544e82f6f1046d2282AF7",999]	{"name": "ADHD", "symbol": "ADHD", "decimals": 18}
["0x8E49FBE93a2BD25BB91F435241482Ab2Dc4e2AbA",999]	{"name": "hytrump", "symbol": "Hytrump", "decimals": 18}
["0xB4543908DB833d11F575eC29Cd96B761ac491305",999]	{"name": "STONKS", "symbol": "STK", "decimals": 18}
["0xE8065EA174181Fc476D406007c7795d6E402f9b0",999]	{"name": "tapchip", "symbol": "666", "decimals": 18}
["0x88Dbfd8eFA01631695770A44b89116F8f23126AF",999]	{"name": "HURP", "symbol": "HURP", "decimals": 18}
["0xbF2D3b1a37D54ce86d0e1455884dA875a97C87a8",999]	{"name": "Tether USD", "symbol": "USDT", "decimals": 6}
["0xFe4747DE131D43E9564B6d492F90D7019E225630",999]	{"name": "PEPEONHYPE", "symbol": "PEPE", "decimals": 18}
["0x7D191144d27cAe8b14Ec51055Cc1e54e8689f6C2",999]	{"name": "Hynu", "symbol": "HYNU", "decimals": 18}
["0xE9d0D3A1f96BacD02d7A8d920D0EF26441b6E8DC",999]	{"name": "eke", "symbol": "eke", "decimals": 18}
["0xaC53D444658FEfE857C95B16c9D4CED123Dffd39",999]	{"name": "HyperDOG", "symbol": "HDOG", "decimals": 18}
["0xc4dF8DB7744297316172ae45F9f1AdD142AC899d",999]	{"name": "PERSIAN CAT", "symbol": "PCAT", "decimals": 18}
["0x84Dd75BBCE0dbeeA73bB37d55c22867d15166c2d",999]	{"name": "HYPERFART", "symbol": "HFART", "decimals": 18}
["0x7884bF0a5cd5EfEcb30Aa6292eF40c0158d5a519",999]	{"name": "Hopium", "symbol": "HYPIUM", "decimals": 18}
["0xe1cf0edE5b7FB6B9C5681d991426f5a71018d6bD",999]	{"name": "FolioATH", "symbol": "GMATH", "decimals": 18}
["0xDFCCE7b189e8566C25a444C6eBD6aC76105261EF",999]	{"name": "BBBB", "symbol": "BBBB", "decimals": 18}
["0x749568198b28e757ec35cC7b453c60c24a1d26fF",999]	{"name": "BBBB", "symbol": "BBBB", "decimals": 18}
["0xB474b1c7CF1BF5e3ee663d309824a30B262c30b2",999]	{"name": "tst", "symbol": "tst", "decimals": 18}
["0x84C05e8466541E0023e3c09e54bFC9844e208d0A",999]	{"name": "ASTRO", "symbol": "ASTRO", "decimals": 18}
["0xB4Aaa15E607D7d0747AD55dAdAf0a55da1988677",999]	{"name": "LiquidCat", "symbol": "LCAT", "decimals": 18}
["0xfD537BC9A9699cD09feF9a359FC443c307cdF64b",999]	{"name": "tst", "symbol": "tst", "decimals": 18}
["0xa4172337336f64d5C0c2b6E52ae50474E8f7b56C",999]	{"name": "wrappedBTC", "symbol": "wBTC", "decimals": 18}
["0xF69eCA84d0a3332C695Dc30824FF9f3ccd151256",999]	{"name": "LMEOW", "symbol": "LMEOW", "decimals": 18}
["0xC432f84216c778cad229AdeC3B937556918Dad9d",999]	{"name": "H", "symbol": "H", "decimals": 18}
["0xD3236909eE69E5C3E5A6C9F031D17f5734DFad89",999]	{"name": "LiquidCat", "symbol": "LCAT", "decimals": 18}
